text,user,created_at,timestamp,geo,lang
.@PaulGallen13 has #Nutsontheline with @BrissyDan picking #shfc to beat #SWANS on #SOUSWA #BPL Agree/Disagree? Take them on @sportnutsapp,sportnutsapp,2015-09-26 14:01:20,1443276080654,,en
.@camsmith9 has #Nutsontheline with Cameron Hart picking #shfc to beat #SWANS on #SOUSWA #BPL Agree/Disagree? Take them on @sportnutsapp,sportnutsapp,2015-09-26 14:01:20,1443276080779,,en
"Kick-Off #EPL
#LFC 🆚 Aston Villa
Leicester 🆚 Arsenal
Man United 🆚 Sunderland
Southampton 🆚 Swansea
Stoke 🆚 Bournemouth
West Ham 🆚 Norwich",Zportt,2015-09-26 14:01:21,1443276081318,,en
"Bola rolando:

Leicester x Arsenal
Liverpool x Aston Villa
Man Utd x Sunderland
Southampton x Swansea
Stoke x Bournemouth
West Ham x Norwich",PremierLigado,2015-09-26 14:01:21,1443276081274,,en
"Southampton VS Swansea

Live Stream : http://t.co/bU5zJnbare

ftblsk6 #SaintsFC #Swans #WeMarchOn #Stoptober #SOUSWA #GlobalSwans",MeryemSoylu10,2015-09-26 14:01:21,1443276081761,,en
KICK-OFF: Leicester vs Arsenal _ Liverpool vs Aston Villa _ Man Utd vs Sunderland _ Saints vs Swansea _ Stoke vs... http://t.co/OS96l0lxtC,SSFootball_,2015-09-26 14:01:23,1443276083881,,en
Run of the pitch for Keelan Giles to get his second try!! Converted by Jac Wilson. Narberth RFC 3 - 24 swansea RFC,swansearfc,2015-09-26 14:01:24,1443276084790,,en
Jack Cork returns to Southampton as fully-fledged Swansea City player http://t.co/AdEliqX2SX http://t.co/ZdTheKOKOB,SwanseaCityFCRR,2015-09-26 14:01:24,1443276084393,,en
Southampton x Swansea é um jogo que promete demais. Pena que não haverá transmissão.,EnglishLeagueBR,2015-09-26 14:01:28,1443276088886,,pt
Swansea vs Southampton är en riktigt intressant match på förhand. Två likartade och likvärdiga lag.,pmophy17421,2015-09-26 14:01:30,1443276090546,,sv
"Southampton VS Swansea

Live Stream : http://t.co/vIFKtC8Yvp

ftblsk6 #SaintsFC #Swans #WeMarchOn #Stoptober #SOUSWA #GlobalSwans",KadriyeTural,2015-09-26 14:01:30,1443276090940,,en
"♫ Today: Swansea, United Kingdom - Sep 26 at  Oxygen http://t.co/8Jbk8oVjLV",harrisonlive,2015-09-26 14:01:31,1443276091296,,en
U18 REPORT: Southampton 0-2 West Ham United http://t.co/Wu7p27qx23,SOUTHAMPTONBPL,2015-09-26 14:01:33,1443276093877,,en
"EPL || Inician》
Sounthampton 0-0 Swansea 
Stoke 0-0  Bournemouth",LOCOXELFUTTBOL,2015-09-26 14:01:35,1443276095194,,en
Check this job out! #IT Systems Operations Manager in Southampton. #job #SpectrumIT https://t.co/GyvUXFeIhO,Spectrum_ITjobs,2015-09-26 14:01:35,1443276095228,,en
KO: Match underway at St. Mary's. Swansea get the ball rolling... #saintsfc,StMarysMusings,2015-09-26 14:01:36,1443276096324,,en
LIVE: Southampton v Swansea http://t.co/7OabLVOary,UVEliteFC,2015-09-26 14:01:36,1443276096576,,en
"INICIO:
Leicester 0-0 Arsenal
West Ham 0-0 Norwich
Stoke 0-0 Bournemouth
Man United 0-0 Sunderland
Soton 0-0 Swansea
Liverpool 0-0 Villa",FutboolFlchajes,2015-09-26 14:01:38,1443276098824,,en
"#BPL En juego:
#ManUtd 0-0 #Sunderland (Valencia titular)
#Southampton 0-0 #Swansea (Montero suplente)",area88radio,2015-09-26 14:01:39,1443276099203,,es
"After being rejected by Southampton as youth, Kevin Phillips went on to win the 99/00 @premierleague Golden Boot #PFN http://t.co/Bx51Do7Pty",PFN,2015-09-26 14:01:40,1443276100980,,en
"Southampton VS Swansea

Live Stream : http://t.co/rdhhTLDUYv

ftblsk6 #SaintsFC #Swans #WeMarchOn #Stoptober #SOUSWA #GlobalSwans",mervecikcam,2015-09-26 14:01:41,1443276101124,,en
LIVE: Southampton v Swansea http://t.co/7Ga3Ji5LBe,L_kaybee,2015-09-26 14:01:41,1443276101149,,en
Come on Swansea!!⚽️ @SwansOfficial #Swans,sarahcodd1,2015-09-26 14:01:43,1443276103348,,en
LIVE: Southampton v Swansea http://t.co/6eAGV3Zu8b,Londonboyer,2015-09-26 14:01:48,1443276108826,,en
Southampton - Swansea City LIVE http://t.co/ep4S4q0oXr,HAITICNN,2015-09-26 14:01:48,1443276108950,,en
LIVE: Southampton v Swansea http://t.co/vizN804LrD http://t.co/44xgVCUKLp,GoalcomKenya,2015-09-26 14:01:48,1443276108858,,en
sou tão dedicada que até jogos do Southampton vejo,joanafcorreia9,2015-09-26 14:01:50,1443276110658,,pt
Southampton - Swansea City LIVE http://t.co/5dKX6Des8I,HAITICNN,2015-09-26 14:01:50,1443276110854,,en
LIVE: Southampton v Swansea http://t.co/2XTHvQXkll,OJAY_PUMPING,2015-09-26 14:01:52,1443276112570,,en
LIVE: Southampton v Swansea http://t.co/3iXfJ1MYto,Jopac4dvirg,2015-09-26 14:01:52,1443276112882,,en
"COMIENZAN LOS PARTIDOS:
* Leicester v Arsenal
* Man. Utd v Sunderland
* Liverpool v A. Villa
* Southampton v Swansea
* West Ham v Norwich",Alex_Carrillo_R,2015-09-26 14:01:55,1443276115557,,en
LIVE: Southampton v Swansea: The Saints have started in poor form this season and will be hoping to arrest tha... http://t.co/8x1x4zJgaD,BeInsuperable,2015-09-26 14:01:56,1443276116162,,en
LIVE: Southampton v Swansea http://t.co/olnX7qqLTx,CILEDUGFLAMES,2015-09-26 14:01:56,1443276116698,,en
"Southampton VS Swansea

Live Stream : http://t.co/4gMwt5Ad0I

ftblsk6 #SaintsFC #Swans #WeMarchOn #Stoptober #SOUSWA #GlobalSwans",sewimkayaa,2015-09-26 14:01:58,1443276118876,,en
"According to Goal, LIVE: Southampton v Swansea http://t.co/PXtyyDKu0o #tshirt #shirt #kaos",MDG_Fashion,2015-09-26 14:01:59,1443276119934,,en
LIVE: Southampton v Swansea http://t.co/8jRNZwix4o #soccer,tuitSportsUS,2015-09-26 14:02:00,1443276120287,,en
"¡Comienzan!

Leicester - Arsenal
West Ham - Noewich
Southampton - Swansea
Liverpool - Aston Villa 
Stoke - Bournemouth",InglaterraCrew,2015-09-26 14:02:01,1443276121482,,en
"Comienzan los partidos:
Leicester - Arsenal
West Ham - Norwich
Stoke - Bournemouth
Man United - Sunderland
Soton - Swansea
Liverpool - Villa",futbolwebecu,2015-09-26 14:02:01,1443276121934,,en
#Earn £2K monthly #bookiebashing. SEE http://t.co/umt1K8vVJZ #jobs #liverpool #lfc #mufc #mcfc #nottingham #tips #newcastle #southampton,FreeBetsWin,2015-09-26 14:02:03,1443276123082,,en
"INICIO:

Leicester - Arsenal.
Liverpool - A.Villa.
Man Utd - Sunderland.
W.Ham - Norwich.
Southampton - Swansea.
Stoke - Bournemouth.

#EPL",FootballWeb_es,2015-09-26 14:02:04,1443276124258,,en
"¡EN DIRECTO!

Manchester United 0-0 Sunderland
Southampton 0-0 Swansea",SportsABP,2015-09-26 14:02:04,1443276124929,,en
"Southampton VS Swansea

Live Stream : http://t.co/2SlSS2ePrJ

ftblsk6 #SaintsFC #Swans #WeMarchOn #Stoptober #SOUSWA #GlobalSwans",ayseugg,2015-09-26 14:02:05,1443276125031,,en
"¡KICK OFF!

Leicester v Arsenal
Liverpool v Aston Villa
Man United v Sunderland
Southampton v Swansea
Stoke v Bournemouth
West Ham v Norwich",JustFutbol34,2015-09-26 14:02:05,1443276125101,,en
LIVE: Southampton v Swansea http://t.co/9HYoEBhFB9,omokeh,2015-09-26 14:02:05,1443276125370,,en
LIVE: Southampton v Swansea http://t.co/xwdbWiITwT,peasywhee01,2015-09-26 14:02:05,1443276125596,,en
.Southampton FC vs Swansea City | Watch Live And Free Football Streams Now @ http://t.co/3q6fiSbaBm,StreamCentralUK,2015-09-26 14:02:05,1443276125720,,en
LIVE: Southampton v Swansea http://t.co/UjpddDxYKj,OjoraFuad,2015-09-26 14:02:05,1443276125735,,en
LIVE: Southampton v Swansea http://t.co/Ezv42PfY2E,StudyFootball,2015-09-26 14:02:07,1443276127030,,en
